SPASE_AlternateName,HelioData_long_name
['Observatory Station Code: EIC'],Observatory Station Code: EIC
['Observatory Station Code: EBR'],Observatory Station Code: EBR
['Observatory Station Code: EGS'],Observatory Station Code: EGS
['Observatory Station Code: ELT'],Observatory Station Code: ELT
['Observatory Station Code: EKT'],Observatory Station Code: EKT
['Observatory Station Code: EKAT'],Observatory Station Code: EKAT
['Observatory Station Code: ESA'],Observatory Station Code: ESA
['Observatory Station Code: ESK'],Observatory Station Code: ESK
['Observatory Station Code: ETT'],Observatory Station Code: ETT
['Observatory Station Code: EYR'],Observatory Station Code: EYR
['Observatory Station Code: FAN'],Observatory Station Code: FAN
"['Observatory Station Code: AIA', 'Argentine Island']",Observatory Station Code: AIA
"['Flin Flon Vector Magnetic Field 0.5 s Data Geophysical Observatory', 'Observatory Station Code: TPAS', 'The Pas']",Flin Flon Vector Magnetic Field 0.5 s Data Geophysical Observatory
['Observatory Station Code: FCC'],Observatory Station Code: FCC
['Observatory Station Code: FCHU'],Observatory Station Code: FCHU
['Observatory Station Code: FTN'],Observatory Station Code: FTN
['Observatory Station Code: FRA'],Observatory Station Code: FRA
['Observatory Station Code: FSIM'],Observatory Station Code: FSIM
['Observatory Station Code: FSMI'],Observatory Station Code: FSMI
['Observatory Station Code: FSJ'],Observatory Station Code: FSJ
['Observatory Station Code: FYTS'],Observatory Station Code: FYTS
['Observatory Station Code: FYKN'],Observatory Station Code: FYKN
['Observatory Station Code: FRD'],Observatory Station Code: FRD
['Observatory Station Code: FTN'],Observatory Station Code: FTN
['Observatory Station Code: FRN'],Observatory Station Code: FRN
['Observatory Station Code: FUQ'],Observatory Station Code: FUQ
['Observatory Station Code: FUR'],Observatory Station Code: FUR
['GA'],GA
['Observatory Station Code: GAKO'],Observatory Station Code: GAKO
['GCRAS'],GCRAS
"['German Research Centre for Geosciences', 'GFZ']",German Research Centre for Geosciences
['Observatory Station Code: GILL'],Observatory Station Code: GILL
['GIMA'],GIMA
['Observatory Station Code: GJOA'],Observatory Station Code: GJOA
['Observatory Station Code: GLN'],Observatory Station Code: GLN
['Observatory Station Code: GLYN'],Observatory Station Code: GLYN
['THEMIS-Associated Ground Magnetometer Stations'],THEMIS-Associated Ground Magnetometer Stations
['Observatory Station Code: GNA'],Observatory Station Code: GNA
['Observatory Station Code: GLM'],Observatory Station Code: GLM
['Observatory Station Code: GBAY'],Observatory Station Code: GBAY
['Observatory Station Code: VLA'],Observatory Station Code: VLA
['Observatory Station Code: GRM'],Observatory Station Code: GRM
['Observatory Station Code: GWC'],Observatory Station Code: GWC
['Observatory Station Code: GCK'],Observatory Station Code: GCK
['Observatory Station Code: GUA'],Observatory Station Code: GUA
['Observatory Station Code: GZH'],Observatory Station Code: GZH
['Observatory Station Code: GUI'],Observatory Station Code: GUI
['Observatory Station Code: HBA'],Observatory Station Code: HBA
['Hankasalmi Geophysical Observatory'],Hankasalmi Geophysical Observatory
['Observatory Station Code: HRIS'],Observatory Station Code: HRIS
['Observatory Station Code: HBK'],Observatory Station Code: HBK
['Observatory Station Code: HAD'],Observatory Station Code: HAD
['Observatory Station Code: HTY'],Observatory Station Code: HTY
['Observatory Station Code: HIS'],Observatory Station Code: HIS
['Observatory Station Code: HLP'],Observatory Station Code: HLP
['Observatory Station Code: HLW'],Observatory Station Code: HLW
['Observatory Station Code: HER'],Observatory Station Code: HER
['Observatory Station Code: HNA'],Observatory Station Code: HNA
['Observatory Station Code: HOMR'],Observatory Station Code: HOMR
['Observatory Station Code: HON'],Observatory Station Code: HON
['Observatory Station Code: HOP'],Observatory Station Code: HOP
['Observatory Station Code: HRP'],Observatory Station Code: HRP
['Observatory Station Code: HRN'],Observatory Station Code: HRN
['Observatory Station Code: HOTS'],Observatory Station Code: HOTS
['Hov Faroe Islands Geophysical Observatory'],Hov Faroe Islands Geophysical Observatory
['Observatory Station Code: HUA'],Observatory Station Code: HUA
['Observatory Station Code: HRB'],Observatory Station Code: HRB
['Observatory Station Code: HYB'],Observatory Station Code: HYB
['Observatory Station Code: IBD'],Observatory Station Code: IBD
['Observatory Station Code: IGLO'],Observatory Station Code: IGLO
['IIG'],IIG
['IMAGE'],IMAGE
['International Real-time Magnetic Observatory Network'],International Real-time Magnetic Observatory Network
['Observatory Station Code: INUK'],Observatory Station Code: INUK
['Observatory Station Code: INUV'],Observatory Station Code: INUV
['Observatory Station Code: IQA'],Observatory Station Code: IQA
['Observatory Station Code: ISK'],Observatory Station Code: ISK
['Observatory Station Code: SCO'],Observatory Station Code: SCO
['Observatory Station Code: IVA'],Observatory Station Code: IVA
['Observatory Station Code: IZN'],Observatory Station Code: IZN
['Observatory Station Code: JCK'],Observatory Station Code: JCK
['Observatory Station Code: JAI'],Observatory Station Code: JAI
['Observatory Station Code: JAN'],Observatory Station Code: JAN
['Observatory Station Code: JRV'],Observatory Station Code: JRV
['Observatory Station Code: JCO'],Observatory Station Code: JCO
['Observatory Station Code: KDU'],Observatory Station Code: KDU
['Observatory Station Code: KAK'],Observatory Station Code: KAK
['Observatory Station Code: KAKO'],Observatory Station Code: KAKO
['Observatory Station Code: STF'],Observatory Station Code: STF
['Observatory Station Code: KNY'],Observatory Station Code: KNY
['Observatory Station Code: KNZ'],Observatory Station Code: KNZ
['Observatory Station Code: KAPU'],Observatory Station Code: KAPU
['Observatory Station Code: KRC'],Observatory Station Code: KRC
['Karmoy Geophysical Observatory'],Karmoy Geophysical Observatory
['Observatory Station Code: KSH'],Observatory Station Code: KSH
['Observatory Station Code: KMH'],Observatory Station Code: KMH
['Observatory Station Code: KENA'],Observatory Station Code: KENA
['Observatory Station Code: KEV'],Observatory Station Code: KEV
['Observatory Station Code: KIAN'],Observatory Station Code: KIAN
['Observatory Station Code: KIL'],Observatory Station Code: KIL
['Observatory Station Code: KIR'],Observatory Station Code: KIR
['Observatory Station Code: KOD'],Observatory Station Code: KOD
['Observatory Station Code: KODK'],Observatory Station Code: KODK
['Observatory Station Code: KOR'],Observatory Station Code: KOR
['Observatory Station Code: KOU'],Observatory Station Code: KOU
"['Observatory Station Code: MOS', 'Moscow']",Observatory Station Code: MOS
['Observatory Station Code: KUV'],Observatory Station Code: KUV
['Observatory Station Code: KUUJ'],Observatory Station Code: KUUJ
['Observatory Station Code: KJPK'],Observatory Station Code: KJPK
['Observatory Station Code: AQU'],Observatory Station Code: AQU
['Observatory Station Code: LPB'],Observatory Station Code: LPB
['Observatory Station Code: LQA'],Observatory Station Code: LQA
['Observatory Station Code: LRG'],Observatory Station Code: LRG
['Observatory Station Code: LZH'],Observatory Station Code: LZH
"['Observatory Station Code: TEN', 'Tenerife']",Observatory Station Code: TEN
['Observatory Station Code: LREL'],Observatory Station Code: LREL
['Observatory Station Code: LDV'],Observatory Station Code: LDV
['Learmonth'],Learmonth
['Leirvogur Geophysical Observatory'],Leirvogur Geophysical Observatory
['Observatory Station Code: LEN'],Observatory Station Code: LEN
['Observatory Station Code: LER'],Observatory Station Code: LER
['Observatory Station Code: LETH'],Observatory Station Code: LETH
