HelioData_short_name,HelioData_long_name,SPASE_AlternateName,SPASE_ResourceName
Tihany,Tihany,IAGA:THY,"['Tihany', 'IAGA:THY']"
Tikhaya Bay,Tikhaya Bay,Tikhaya.Bay,"['Tikhaya.Bay', 'IAGA:TKH']"
Tiouine,Tiouine,IAGA:TIO,"['Tiouine', 'IAGA:TIO']"
Tiruchirapalli,Tiruchirapalli,Tiruchirapalli,"['Tiruchirapalli', 'IAGA:TIP']"
Tirunelveli,Tirunelveli,Tirunelveli,"['Tirunelveli', 'IAGA:TIR']"
Tixie Bay,Tixie Bay,Tixie.Bay,"['Tixie.Bay', 'IAGA:TIK']"
Tokyo,Tokyo,IAGA:TOK,"['Tokyo', 'IAGA:TOK']"
Toledo,Toledo,IAGA:TOL,"['Toledo', 'IAGA:TOL']"
Tomsk,Tomsk,IAGA:TMK,"['Tomsk', 'IAGA:TMK']"
Tondano,Tondano,IAGA:TND,"['Tondano', 'IAGA:TND']"
Tonghai,Tonghai,IAGA:THJ,"['Tonghai', 'IAGA:THJ']"
Toolangi,Toolangi,Toolangi,"['Toolangi', 'IAGA:TOO']"
Toronto,Toronto,IAGA:TOR,"['Toronto', 'IAGA:TOR']"
Toulouse,Toulouse,Toulouse,"['Toulouse', 'IAGA:TLS']"
Toungoo,Toungoo,IAGA:TGO,"['Toungoo', 'IAGA:TGO']"
Toyoharanew,Toyoharanew,Toyoharanew,"['Toyoharanew', 'IAGA:TOH']"
Trelew,Trelew,IAGA:TRW,"['Trelew', 'IAGA:TRW']"
Trivandrum,Trivandrum,Trivandrum,"['Trivandrum', 'IAGA:TRD']"
TRO,Tromso,IAGA:TRO,"['Tromso', 'IAGA:TRO']"
Tsingtao Qingdao,Tsingtao/Qingdao,IAGA:TSI,"['Qingdao', 'IAGA:TSI']"
Tsumeb,Tsumeb,IAGA:TSU,"['Tsumeb', 'IAGA:TSU']"
TUC,Tucson,IAGA:TUC,"['Tucson', 'IAGA:TUC']"
Tulsa,Tulsa,IAGA:TUL,"['Tulsa', 'IAGA:TUL']"
Tungsten,Tungsten,Tungsten,"['Tungsten', 'IAGA:TST']"
Tuntungan,Tuntungan,Tuntungan,"['Tuntungan', 'IAGA:TUN']"
Uccle,Uccle,IAGA:UCC,"['Uccle', 'IAGA:UCC']"
Ugut,Ugut,IAGA:UGT,"['Ugut', 'IAGA:UGT']"
Ujjain,Ujjain,IAGA:UJJ,"['Ujjain', 'IAGA:UJJ']"
Ukhta,Ukhta,IAGA:UKH,"['Ukhta', 'IAGA:UKH']"
Ulan Bator,Ulan Bator,Ulan.Bator,"['Ulan.Bator', 'IAGA:UBA']"
Umba,Umba,IAGA:UMA,"['Umba', 'IAGA:UMA']"
Uppsala.1,Uppsala.1,Uppsala.1,"['Uppsala.1', 'IAGA:UPP']"
Uppsala.2,Uppsala.2,Uppsala.2,"['Uppsala.2', 'IAGA:UPS']"
Uranium City,Uranium City,Uranium.City,"['Uranium.City', 'IAGA:URC']"
Urumqi,Urumqi,IAGA:WMQ,"['Urumqi', 'IAGA:WMQ']"
Utrecht,Utrecht,IAGA:UTR,"['Utrecht', 'IAGA:UTR']"
Val Joyeux,Val Joyeux,Val.Joyeux,"['Val.Joyeux', 'IAGA:VLJ']"
Valentia,Valentia,Valentia,"['Valentia', 'IAGA:VAL']"
Van Rensselaer,Van Rensselaer,Van.Rensselaer,"['Van.Rensselaer', 'IAGA:VAN']"
Vassouras,Vassouras,Vassouras,"['Vassouras', 'IAGA:VSS']"
VIC,Victoria,Victoria,"['Victoria', 'IAGA:VIC']"
Vieques,Vieques,IAGA:VQS,"['Vieques', 'IAGA:VQS']"
Villa Remedios,Villa Remedios,Villa.Remedios,"['Villa.Remedios', 'IAGA:VRE']"
Visakhapatnam,Visakhapatnam,Visakhapatnam,"['Visakhapatnam', 'IAGA:VSK']"
Voeikovo,Voeikovo,Voeikovo,"['Voeikovo', 'IAGA:LNN']"
Voroshilov,Voroshilov,Voroshilov,"['Voroshilov', 'IAGA:VOR']"
VOS,Vostok,IAGA:VOS,"['Vostok', 'IAGA:VOS']"
Vykhodnoy,Vykhodnoy,Vykhodnoy,"['Vykhodnoy', 'IAGA:VYK']"
Vysokaya Dubrava,Vysokaya Dubrava,Vysokaya.Dubrava,"['Vysokaya.Dubrava', 'IAGA:SVD']"
Wake Island,Wake Island,Wake.Island,"['Wake.Island', 'IAGA:WKE']"
Warnkenhagen,Warnkenhagen,Warnkenhagen,"['Warnkenhagen', 'IAGA:WRH']"
Warsaw,Warsaw,IAGA:WSW,"['Warsaw', 'IAGA:WSW']"
Washington,Washington,Washington,"['Washington', 'IAGA:WDC']"
Watheroo,Watheroo,Watheroo,"['Watheroo', 'IAGA:WAT']"
Weston,Weston,IAGA:WES,"['Weston', 'IAGA:WES']"
White Shell,White Shell,White.Shell,"['White.Shell', 'IAGA:WHS']"
Wien,Wien,IAGA:WIK,"['Wien', 'IAGA:WIK']"
Wien Auhof,Wien-Auhof,Wien-Auhof,"['Wien-Auhof', 'IAGA:WIA']"
Wien Kobenzl,Wien-Kobenzl,Wien-Kobenzl,"['Wien-Kobenzl', 'IAGA:WIK']"
Wilhelmshaven,Wilhelmshaven,Wilhelmshaven,"['Wilhelmshaven', 'IAGA:WLH']"
Wilkes,Wilkes,IAGA:WIL,"['Wilkes', 'IAGA:WIL']"
Wingst,Wingst,IAGA:WNG,"['Wingst', 'IAGA:WNG']"
Winnipeg,Winnipeg,Winnipeg,"['Winnipeg', 'IAGA:WNP']"
Witteveen,Witteveen,Witteveen,"['Witteveen', 'IAGA:WIT']"
Wuhan,Wuhan,IAGA:WHN,"['Wuhan', 'IAGA:WHN']"
Wustrow,Wustrow,IAGA:WUS,"['Wustrow', 'IAGA:WUS']"
Yakutsk,Yakutsk,IAGA:YAK,"['Yakutsk', 'IAGA:YAK']"
Yangi Bazar,Yangi Bazar,Yangi.Bazar,"['Yangi.Bazar', 'IAGA:TKT']"
Yauca,Yauca,IAGA:YAU,"['Yauca', 'IAGA:YAU']"
YKC,Yellowknife,Yellowknife,"['Yellowknife', 'IAGA:YKC']"
Yuzhno Sakhalinsk,Yuzhno Sakhalinsk,Yuzhno.Sakhalinsk,"['Yuzhno.Sakhalinsk', 'IAGA:YSS']"
Yuzhny Shar,Yuzhny Shar,Yuzhny.Shar,"['Yuzhny.Shar', 'IAGA:YSH']"
Zaimishche Kazan,Zaimishche/Kazan,IAGA:KZN,"['Kazan', 'IAGA:KZN']"
Zaria,Zaria,IAGA:ZAR,"['Zaria', 'IAGA:ZAR']"
Zhong Shan,Zhong Shan,Zhong.Shan,"['Zhong.Shan', 'IAGA:ZHS']"
Zi Ka Wei,Zi Ka Wei,Zi.Ka.Wei,"['Zi.Ka.Wei', 'IAGA:ZKW']"
Zinzen,Zinzen,IAGA:ZIN,"['Zinzen', 'IAGA:ZIN']"
Zo Se,Zo Se,IAGA:ZSC,"['Zo.Se', 'IAGA:ZSC']"
Zuy,Zuy,IAGA:ZUY,"['Zuy', 'IAGA:ZUY']"
IBEX,IBEX,Interstellar Boundary Explorer,['']
ICESTAR Observatory Group,ICESTAR Observatory Group,ICESTAR Ground Observatory Group,['ICESTAR Ground Observatory Group']
AGO P1,AGO P1,AGO P1,['']
AGO P2,AGO P2,AGO P2,['']
AGO P3,AGO P3,AGO P3,['']
AGO P4,AGO P4,AGO P4,['']
AGO P5,AGO P5,AGO P5,['']
AGO P6,AGO P6,AGO P6,['']
Gakona,Gakona,Gakona,['']
Iqaluit,Iqaluit,Iqaluit,['']
McMurdo,McMurdo,McMurdo,['']
South Pole,South Pole,South Pole,['']
ICON,Ionospheric Connection Explorer,Ionospheric Connection,"['ICON', '44628']"
IGPP LANL Observatory Group,IGPP LANL Observatory Group,IGPP LANL magnetometer chain,['IGPP LANL magnetometer chain']
IGPP LANL Air Force Academy Magnetometer,IGPP-LANL Air Force Academy Magnetometer,IGPP-LANL Air Force Academy Magnetometer,['']
IGPP LANL Boulder Magnetometer,IGPP-LANL Boulder Magnetometer,IGPP-LANL Boulder Magnetometer,['']
IGPP LANL Cambridge Magnetometer,IGPP-LANL Cambridge Magnetometer,IGPP-LANL Cambridge Magnetometer,['']
IGPP LANL Crete Magnetometer,IGPP-LANL Crete Magnetometer,IGPP-LANL Crete Magnetometer,['']
IGPP LANL Jicamarca Magnetometer,IGPP-LANL Jicamarca Magnetometer,IGPP-LANL Jicamarca Magnetometer,['']
IGPP LANL Los Alamos National Laboratory Magnetometer,IGPP-LANL Los Alamos National Laboratory Magnetometer,IGPP-LANL Los Alamos National Laboratory Magnetometer,['']
IGPP LANL Rapid City Magnetometer,IGPP-LANL Rapid City Magnetometer,IGPP-LANL Rapid City Magnetometer,['']
IGPP LANL San Gabriel Dam Magnetometer,IGPP-LANL San Gabriel Dam Magnetometer,IGPP-LANL San Gabriel Dam Magnetometer,['']
IGPP LANL SE Louisiana University Magnetometer,IGPP-LANL SE Louisiana University Magnetometer,IGPP-LANL SE Louisiana University Magnetometer,['']
IGPP LANL Table Mountain Magnetometer,IGPP-LANL Table Mountain Magnetometer,IGPP-LANL Table Mountain Magnetometer,['']
IGPP LANL Teoloyucan Magnetometer,IGPP-LANL Teoloyucan Magnetometer,IGPP-LANL Teoloyucan Magnetometer,['']
IGS,International GNSS Service (IGS),International GNSS Service,['International GPS Service']
Indian Institute of Geomagnetism,Indian Institute of Geomagnetism,IIG,['IIG']
IMAGE,IMAGE,Imager for Magnetopause-to-Aurora Global Exploration,"['2000-017A', 'MIDEX/IMAGE', 'Imager for Magnetopause-to-Aurora Global Exploration', 'Explorer 78']"
IMP,IMP Spacecraft Series,IMP Spacecraft Series,['']
IMP 4,IMP 4,Explorer 34,"['1967-051A', 'IMP-F', 'Explorer 34']"
IMP 5,IMP 5,Explorer 41,"['1969-053A', 'IMP-G', 'Explorer 41']"
IMP 6,IMP 6,Explorer 43,"['1971-019A', 'Explorer 43', 'IMP-I']"
IMP 7,IMP 7,Explorer 47,"['1972-073A', 'Explorer 47', 'IMP-H']"
IMP 8,IMP 8,Explorer 50,"['IMP-J', 'Explorer 50', '1973-078A']"
Injun,Injun 5,Explorer 40,"['Explorer 40', 'Injun-C']"
Interball 1,Interball-1,Interball Tail Probe,"['1995-039A', 'Interball Tail Probe', 'Prognoz 11']"
Interball 2,Interball-2,Interball Auroral Probe,"['1996-050C', 'Auroral Probe', 'Prognoz 2M', 'Interball Auroral Probe', 'Prognoz 12']"
Interball Auroral,Interball Auroral,Interball Auroral,['']
Interball Tail,Interball Tail,Interball Tail,['']
IRIDIUM,IRIDIUM,IRIDIUM,['']
IRIDIUM_1_70,IRIDIUM_1_70,IRIDIUM_1_70,['']
IRIS,Interface Region Imaging Spectrograph (IRIS),Interface Region Imaging Spectrograph,['2013-033A']
ISEE,ISEE Mission,International Sun-Earth Explorer,['']
ISEE 1,ISEE 1,International Sun-Earth Explorer-A,"['1977-102A', 'International Sun-Earth Explorer-A', 'Explorer 56', 'ISEE-A']"
ISEE 2,ISEE 2,International Sun-Earth Explorer-B,"['1977-102B', 'International Sun-Earth Explorer-B', 'ISEE-B']"
ISEE 3,ISEE 3,International Sun-Earth Explorer-C,"['1978-079A', 'International Sun-Earth Explorer-C', 'ISEE-C', 'International Cometary Explorer', 'ICE', 'Explorer 59']"
ISIS,ISIS Satellites,International Sats for Ionosph Studies,['International Sats for Ionosph Studies']
ISIS 1,ISIS 1,International Sats for Ionosph Studies,"['1969-009A', 'International Sats for Ionosph Studies', 'ISIS-A']"
ISIS 2,ISIS 2,International Sats for Ionosph Studies,"['1971-024A', 'International Sats for Ionosph Studies', 'ISIS-B']"
ISLL,ISLL,ISLL,['']
ISS,International Space Station,International Space Station,['']
JSPO,JSPO,JSPO,['']
Juno,Juno,Juno Orbiter,['Juno Orbiter']
Kaguya (SELENE),Kaguya (SELENE),Kaguya (SELENE),['']
Kitt Peak,Kitt Peak,KP,['KP']
Korean Multi Purpose Satellite (KOMPSAT 1),Korean Multi-Purpose Satellite (KOMPSAT-1),Korean Multi-Purpose Satellite (KOMPSAT-1),['']
KSO,KSO,KSO,['']
LANL,LANL Spacecraft Series,LANL Spacecraft Series,['']
LANL01A,LANL01A,LANL01A,['']
LANL02A,LANL02A,LANL02A,['']
LANL1989,LANL1989,1989-046,['1989-046']
LANL1990,LANL1990,1990-095,['1990-095']
LANL1991,LANL1991,1991-080,['1991-080']
LANL1994,LANL1994,1994-084,['1994-084']
LANL-97A,LANL1997,LANL-97A,['LANL-97A']
LANL-01A,LANL2001,LANL-01A,['LANL-01A']
LANL-02sA,LANL2002,LANL-02sA,['LANL-02sA']
LANL-97,LANL97A,LANL-97,['LANL-97']
LOFAR,LOFAR,LOFAR,['']
Magion 4,Magion-4,Tail Subsatellite S2-X,"['1995-039F', 'S2-X', 'Tail Subsatellite S2-X', 'Interball S2-X']"
Magsat,Magsat,Explorer 61,"['1979-094A', 'Explorer 61']"
Mariner,Mariner 10,Mariner 10,['']
Mars Express,Mars Express,Mars Express,['']
MSL,"Mars Science Laboratory, MSL",Mars Science Laboratory,['Curiosity']
MAVEN,Mars Atmosphere and Volatile Evolution,Mars Atmosphere and Volatile EvolutioN,['MAVEN']
Mid continent Magnetoseismic Chain (McMAC) Americus Station,Mid-continent Magnetoseismic Chain (McMAC) Americus Station,Mid-continent Magnetoseismic Chain (McMAC) Americus Station,['']
Mid continent Magnetoseismic Chain (McMAC) Bennington Station,Mid-continent Magnetoseismic Chain (McMAC) Bennington Station,Mid-continent Magnetoseismic Chain (McMAC) Bennington Station,['']
Mid continent Magnetoseismic Chain (McMAC) Glyndon Station,Mid-continent Magnetoseismic Chain (McMAC) Glyndon Station,Mid-continent Magnetoseismic Chain (McMAC) Glyndon Station,['']
Mid continent Magnetoseismic Chain (McMAC) Linares Station,Mid-continent Magnetoseismic Chain (McMAC) Linares Station,Mid-continent Magnetoseismic Chain (McMAC) Linares Station,['']
Mid continent Magnetoseismic Chain (McMAC) Lyford Station,Mid-continent Magnetoseismic Chain (McMAC) Lyford Station,Mid-continent Magnetoseismic Chain (McMAC) Lyford Station,['']
Mid continent Magnetoseismic Chain (McMAC) Purcell Station,Mid-continent Magnetoseismic Chain (McMAC) Purcell Station,Mid-continent Magnetoseismic Chain (McMAC) Purcell Station,['']
Mid continent Magnetoseismic Chain (McMAC) Richardson Station,Mid-continent Magnetoseismic Chain (McMAC) Richardson Station,Mid-continent Magnetoseismic Chain (McMAC) Richardson Station,['']
Mid continent Magnetoseismic Chain (McMAC) San Antonio Station,Mid-continent Magnetoseismic Chain (McMAC) San Antonio Station,Mid-continent Magnetoseismic Chain (McMAC) San Antonio Station,['']
Mid continent Magnetoseismic Chain (McMAC) Worthington Station,Mid-continent Magnetoseismic Chain (McMAC) Worthington Station,Mid-continent Magnetoseismic Chain (McMAC) Worthington Station,['']
MEASURE,MEASURE,The observatory group created to represent the chain of stations in the MEASURE Array.,"['MEASURE Observatory Chain', 'The observatory group created to represent the chain of stations in the MEASURE Array.']"
Applied Physics Lab Geomagnetic Observatory,Applied Physics Lab Geomagnetic Observatory,Applied Physics Lab Geomagnetic Observatory,['']
Bullcreek Observatory Geomagnetic Observatory,Bullcreek Observatory Geomagnetic Observatory,Bullcreek Observatory Geomagnetic Observatory,['']
Clarkson University Geomagnetic Observatory,Clarkson University Geomagnetic Observatory,Clarkson University Geomagnetic Observatory,['']
Darksky Observatory Geomagnetic Observatory,Darksky Observatory Geomagnetic Observatory,Darksky Observatory Geomagnetic Observatory,['']
Grafton Test Facility Geomagnetic Observatory,Grafton Test Facility Geomagnetic Observatory,Grafton Test Facility Geomagnetic Observatory,['']
The Jacksonville University Geomagnetic Observatory.,The Jacksonville University Geomagnetic Observatory.,The Jacksonville University Geomagnetic Observatory.,['']
The Millstone Hill Geomagnetic Observatory.,The Millstone Hill Geomagnetic Observatory.,The Millstone Hill Geomagnetic Observatory.,['']
The University of South Carolina Geomagnetic Observatory.,The University of South Carolina Geomagnetic Observatory.,The University of South Carolina Geomagnetic Observatory.,['']
MESSENGER,MESSENGER,"Mercury Surface, Space Environment, Geochemistry and Ranging","['Mercury Surface, Space Environment, Geochemistry and Ranging']"
MetOp A,MetOp-A,MetOp-A,['']
MetOp A,MetOp-A,MetOp-A,['']
Observatoire de Paris (Meudon site),Observatoire de Paris (Meudon site),Observatoire de Paris (Meudon site),['']
MGS,Mars Global Surveyor,Mars Global Surveyor,"['1996-062A', 'MGS', '1996-062A']"
Magnetosphere Ionosphere Coupling in the Alfvén resonator (MICA),Magnetosphere-Ionosphere Coupling in the Alfvén resonator (MICA),Magnetosphere-Ionosphere Coupling in the Alfvén resonator (MICA),['']
MMS,MMS,Magnetospheric Multiscale,['']
MMS 1,MMS-1,MMS-1,['']
MMS 2,MMS-2,MMS-2,['']
MMS 3,MMS-3,MMS-3,['']
MMS 4,MMS-4,MMS-4,['']
Munin Spacecraft,Munin Spacecraft,Munin Spacecraft,['']
Neutron Monitor Stations,Neutron Monitor Stations,Neutron Monitor Stations,['']
Fort Smith,Fort Smith,Fort Smith,['']
Inuvik,Inuvik,Inuvik,['']
McMurdo,McMurdo,McMurdo,['']
Nain,Nain,Nain,['']
Peawanuck,Peawanuck,Peawanuck,['']
South Pole,South Pole,South Pole,['']
SwarthmoreNewark,SwarthmoreNewark,SwarthmoreNewark,['']
Thule,Thule,Thule,['']
Climax,Climax,Climax,['']
Haleakala,Haleakala,Haleakala,['']
Huancayo,Huancayo,Huancayo,['']
New Horizons,New Horizons,New Horizons Pluto Kuiper Belt Flyby,['New Horizons Pluto Kuiper Belt Flyby']
Nimbus,Nimbus 7,Nimbus 7,['']
NOAA 10,NOAA 10,1986-073A,['1986-073A']
NOAA 11,NOAA 11,NOAA 11,['']
NOAA 12,NOAA 12,1991-032A,"['1991-032A', 'NOAA-D']"
NOAA 13,NOAA 13,Advanced TIROS-N (ATN),"['1993-050A', 'NOAA-I', 'Advanced TIROS-N (ATN)', 'POES']"
NOAA 14,NOAA 14,Advanced TIROS-N (ATN),"['1994-089A', 'Advanced TIROS-N (ATN)', 'POES', 'NOAA-J']"
NOAA 15,NOAA 15,Polar Operational Environmental Satellite,"['1998-030A', 'Polar Operational Environmental Satellite', 'POES 15', 'Advanced TIROS-N (ATN)']"
NOAA 16,NOAA 16,Advanced TIROS-N (ATN),"['2000-055A', 'Advanced TIROS-N (ATN)', 'POES 16']"
NOAA 17,NOAA 17,Advanced TIROS-N (ATN),"['2002-032A', 'Advanced TIROS-N (ATN)']"
NOAA 18,NOAA 18,Advanced TIROS-N (ATN),"['2005-018A', 'Advanced TIROS-N (ATN)']"
NOAA 19,NOAA 19,NOAA-N Prime,"['2009-005A', 'NOAA-N Prime']"
NOAA 5,NOAA 5,1976-077A,"['1976-077A', 'ITOS-H']"
NOAA 6,NOAA 6,1979-057A,"['1979-057A', 'NOAA-A']"
NOAA 7,NOAA 7,1981-059A,"['1981-059A', 'NOAA-C']"
NOAA 8,NOAA 8,1983-022A,"['1983-022A', 'NOAA-E']"
NOAA,NOAA 9,NOAA 9,['']
NOB_RH,NOB_RH,NOB_RH,['']
NSO Observatory Group,NSO Observatory Group,NSO Observatory Group,['']
OAC,OAC,OAC,['']
ObsParis,ObsParis,ObsParis,['']
Oersted,Oersted,NSSDC ID: 1999-008B,"['Orsted', 'NSSDC ID: 1999-008B']"
OGO,OGO Satellites,OGO Satellites,['']
OGO 2,OGO 2,1965-081A,"['OGO-C', 'POGO 1', '01620', '1965-081A']"
OGO 4,OGO 4,1967-073A,"['1967-073A', 'OGO-D', 'POGO 2']"
OGO 6,OGO 6,1969-051A,"['1969-051A', 'OGO-F', 'PL-691D', 'S 60', 'POGO 3']"
Ohzora,Ohzora,Exospheric Sat. C,"['1984-015A', 'Exospheric Sat. C', 'EXOS-C']"
OMNI,OMNI,OMNI,['']
OV1 19,OV1-19,1969-025C,"['LANL97A', '1969-025C', '03825']"
OV3 3,OV3-3,1966-070A,"['1966-070A', '02389']"
PADRE,PADRE,Solar Polarization and Directivity X-Ray Experiment,['Solar Polarization and Directivity X-Ray Experiment']
PSP,Parker Solar Probe Spacecraft,Parker Solar Probe,"['PSP', 'Solar Probe Plus Spacecraft', 'SPP']"
Phobos,Phobos 2,Fobos 2,['Fobos 2']
PICARD,PICARD,PICARD,['']
Pic du Midi,Pic du Midi,Pic du Midi,['']
PINA,PINA,PINA,['']
Pioneer,Pioneer Spacecraft Series,Pioneer Spacecraft Series,['']
Pioneer 10,Pioneer 10,1972-012A,"['1972-012A', 'Pioneer-F']"
Pioneer 11,Pioneer 11,1973-019A,"['1973-019A', 'Pioneer-G']"
Pioneer Venus Orbiter,Pioneer Venus Orbiter,Pioneer Venus 1978 Orbiter,"['1978-051A', 'Pioneer Venus 1', 'PVO', 'Pioneer 12', 'Pioneer Venus 1978 Orbiter']"
Polar orbiting Operational Environmental Satellite (POES),Polar-orbiting Operational Environmental Satellite (POES),Polar-orbiting Operational Environmental Satellite (POES),['']
Polar,POLAR,Polar,"['Polar Plasma Laboratory', 'GGS/Polar', 'ISTP/Polar']"
PROBA 2,PROBA2,PROBA2,['']
Prognoz,Prognoz Spacecraft Series,Prognoz Spacecraft Series,['']
Prognoz 6,Prognoz 6,1977-093A,['1977-093A']
Prognoz 7,Prognoz 7,1978-101A,['1978-101A']
Prognoz 9,Prognoz 9,1983-067A,"['1983-067A', 'Relict']"
RABB,RABB,RABB,['']
Radio JOVE Observatory Network,Radio JOVE Observatory Network,Radio JOVE Observatory Network,['']
AJ4CO Radio Observatory,AJ4CO Radio Observatory,AJ4CO,['AJ4CO']
Hawk's Nest Radio Astronomy Observatory,Hawk's Nest Radio Astronomy Observatory,HNRAO,['HNRAO']
Middle Tennessee State University,Middle Tennessee State University,MTSU,['MTSU']
RANK,RANK,RANK,['']
RBSP,Radiation Belt Storm Probe Satellite,Van Allen Probes,"['Radiation Belt Storm Probe', 'Van Allen Probes']"
Van Allen Probe A,Van Allen Probe A,Radiation Belt Storm Probe A,['Radiation Belt Storm Probe A']
Van Allen Probe B,Van Allen Probe B,Radiation Belt Storm Probe B,['Radiation Belt Storm Probe B']
Redline Emission Geospace Observatory (rEGO),Redline Emission Geospace Observatory (rEGO),Redline Emission Geospace Observatory (rEGO),['']
RENU 2,"Rocket Experiment for Neutral Upwelling 2, RENU 2, Sounding Rocket Payload",Rocket Experiment for Neutral Upwelling 2,['']
RHESSI,RHESSI,Reuven Ramaty High Energy Solar Spectroscope Imager,"['2002-004A', 'SMEX/RHESSI', 'Small Explorer/RHESSI', 'HESSI', 'Reuven Ramaty High Energy Solar Spectroscopic Imager']"
ROCSAT-1,ROCSAT-1,Republic of China Satellite-1,"['Formosat-1', 'Republic of China Satellite-1']"
Rosetta,Rosetta,Rosetta Comet Rendezvous,['Rosetta Comet Rendezvous']
S-Cubed_A,S-Cubed A,S-Cubed A,"['Explorer 45', 'SSS-A']"
S3 3,S3-3,SESP S74-2A,"['SESP S74-2A', 'SS74-2A', 'S74-2', '09007']"
SAC-C,SAC-C Project,SAC-C Project,"['Satélite de Aplicaciones Científicas-C', 'Scientific Application Satellite-C', 'Oersted-2', 'NSSDC ID: 2000-075B']"
Sakigake,Sakigake,Pioneer,['Pioneer']
SAMPEX,SAMPEX,Solar Anomalous and Magnetospheric Particle Explorer,"['1992-038A', 'Small Explorer/SAMPEX', 'Explorer 68', 'SMEX/SAMPEX', 'Solar Anomalous and Magnetospheric Particle Explorer']"
San Fernando Observatory,San Fernando Observatory,San Fernando Observatory,['']
San Marco DL,San Marco-DL,San Marco-DL,['']
SCATHA,SCATHA,Spacecraft Charging AT High Altitude,"['Spacecraft Charging AT High Altitudes', 'STP P78-2']"
SDIC,SDIC,SDIC,['']
SDO,SDO,Solar Dynamics Observatory,['Solar Dynamics Observatory']
Spherical Elementary Current Systems,Spherical Elementary Current Systems,Spherical Elementary Current Systems,['']
SESAME,SESAME,Satellite Experiments Simultaneous with Antarctic MEasurements,['Satellite Experiments Simultaneous with Antarctic MEasurements']
Sodankylä Geophysical Observatory,Sodankylä Geophysical Observatory,Sodankylä Geophysical Observatory,['']
Siple Experiment,Siple Experiment,Siple Experiment,['']
Skylab,Skylab,1973-027A,['1973-027A']
SME,SME,SME,['']
Solar wind Magnetosphere Ionosphere Link Explorer (SMILE),Solar wind-Magnetosphere-Ionosphere Link Explorer (SMILE),Solar wind-Magnetosphere-Ionosphere Link Explorer (SMILE),['']
SNOE,Student Nitric Oxide Explorer (SNOE),Student Nitric Oxide Explorer,['']
SOHO,SOHO,Solar and Heliospheric Observatory,"['1995-065A', 'Solar and Heliospheric Observatory']"
SOLIS,SOLIS,SOLIS,['']
SORCE,SORCE,Solar Radiation and Climate Experiment,"['2003-004A', 'SOlar Radiation and Climate Experiment']"
SRN,SRN,Station de Radioastronomie de Nançay,"['Nançay Radioastronomy Observatory', 'Station de Radioastronomie de Nançay', 'Unité Scientifique de Nançay']"
LOFAR FR606 High Band Array,LOFAR FR606 High Band Array,LOFAR FR606 High Band Array,['']
LOFAR FR606 Low Band Array,LOFAR FR606 Low Band Array,LOFAR FR606 Low Band Array,['']
Nancay Decameter Array,Nancay Decameter Array,Nancay Decameter Array,['']
NenuFAR,NenuFAR,NenuFAR,['']
Nancay Radioheliograph,Nancay Radioheliograph,Nancay Radioheliograph,['']
Nancay Radioheliograph,Nancay Radioheliograph,Nancay Radioheliograph,['']
ORFEES,ORFEES,ORFEES,['']
ST5,ST5 Mission,ST5 Mission,['']
ST5 094,ST5-094,2006-008B,"['ST5-B', '2006-008B']"
ST5 155,ST5-155,2006-008A,"['ST5-A', '2006-008A']"
ST5 224,ST5-224,2006-008C,"['ST5-C', '2006-008C']"
Solar Terrestrial Energy Program,Solar-Terrestrial Energy Program,STEP,['STEP']
STEREO,STEREO Mission,Solar-Terrestrial Relations Observatory,['']
STEREO A,STEREO A,Solar Terrestrial Relations Observatory A,"['STEREO Ahead', 'STEREO East', 'Solar Terrestrial Relations Observatory A']"
STEREO B,STEREO B,Solar Terrestrial Relations Observatory B,"['STEREO Behind', 'STEREO West', 'Solar Terrestrial Relations Observatory B']"
STPSat 1,STPSat-1,STPSat-1,['']
Suisei,Suisei,Planet A,['Planet A']
SuperDARN,SuperDARN,SuperDARN,['']
SuperMAG,SuperMAG,SuperMAG,['']
Syowa Upper Atmosphere Physics Monitoring Data,Syowa Upper Atmosphere Physics Monitoring Data,SYO,['SYO']
TALO,TALO,TALO,['']
THEMIS,THEMIS,Time History of Events and Macroscale Interactions during Substorms,['MIDEX/THEMIS']
THEMIS-A,THEMIS-A,Time History of Events and Macroscale Interactions during Substorms A,"['Explorer 85', '2007-004A', 'MIDEX/THEMIS', 'THEMIS-P5', '30580']"
THEMIS-B,THEMIS-B,Time History of Events and Macroscale Interactions during Substorms B,"['Explorer 86', '2007-004B', 'MIDEX/THEMIS', 'THEMIS-P1', 'ARTEMIS-P1', '30581']"
THEMIS-C,THEMIS-C,Time History of Events and Macroscale Interactions during Substorms C,"['Explorer 87', '2007-004C', 'MIDEX/THEMIS', 'THEMIS-P2', 'ARTEMIS-P2', '30582']"
THEMIS-D,THEMIS-D,Time History of Events and Macroscale Interactions during Substorms D,"['Explorer 88', '2007-004D', 'MIDEX/THEMIS', 'THEMIS-P3', '30797']"
THEMIS-E,THEMIS-E,Time History of Events and Macroscale Interactions during Substorms E,"['Explorer 89', '2007-004E', 'MIDEX/THEMIS', 'THEMIS-P4', '30798']"
THEMIS Ground,THEMIS-Associated Ground Magnetometer Stations,THEMIS-Associated Ground Magnetometer Stations,['']
CANMAG,CANMAG,Canadian Magnetometer Array,['NASA THEMIS CANMAG Ground Stations']
NASA THEMIS GBO Athabasca Station,NASA THEMIS GBO Athabasca Station,ATHA,['ATHA']
